Analyzing 2315 files...
location,avg_file_loc,avg_function_loc,file_count,function_count,total_loc
.,141.4,0,5,10,707.0
DEMOS,185.8,0,5,62,929.0
DEMOS/TUTORIAL,237.875,0,8,83,1903.0
code_cop,4.5,0,2,0,9.0
code_cop/cli,139.16666666666666,0,6,18,835.0
code_cop/core,152.0,0,6,57,760.0
code_cop/hooks,0,0,1,0,0
code_cop/runners,44.0,0,2,6,44.0
code_cop/runners/javascript,0,0,1,0,0
code_cop/runners/python,152.33333333333334,0,3,26,457.0
code_cop/runners/typescript,0,0,1,0,0
code_cop/terminal,204.375,0,8,206,1635.0
code_cop/terminal/themes,1.0,0,1,0,1.0
code_cop/terminal/utils,1.0,0,1,0,1.0
code_cop/terminal/widgets,185.88888888888889,0,9,120,1673.0
code_cop/utils,32.0,0,2,1,32.0
